date,semantic_categories,num_classes,vectorize_technique,vectorization_hyperparameters,path_vectorization,model_name,model_hyperparameters,accuracy,loss,precision_train,recall_train,f1_train,precision_test,recall_test,f1_test,days_pw,days_ow
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v489.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,3.5211226253570716e+26,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v490.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.96875,0.3841487169265747,0.851,0.977,0.91,0.941,1.0,0.97,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v491.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v492.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:58:09,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 436, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115809,lstm_v493.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v494.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:58:55,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 545, 'n_feature': 495, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115855,lstm_v495.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,545
2025-07-04 11:58:09,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 436, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115809,lstm_v496.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v497.h5,"{'embedding_dim': 600, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.96875,0.06739269942045212,0.969,0.953,0.961,1.0,0.938,0.968,180,180
2025-07-04 11:58:55,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 545, 'n_feature': 495, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115855,lstm_v498.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,545
2025-07-04 11:58:09,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 436, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115809,lstm_v499.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 11:58:09,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 436, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115809,lstm_v500.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 11:58:55,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 545, 'n_feature': 495, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115855,lstm_v501.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,545
2025-07-04 12:00:04,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 730, 'n_feature': 529, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120004,lstm_v502.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,730
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v503.h5,"{'embedding_dim': 700, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 12:00:55,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 124, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120055,lstm_v504.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.703125,0.6147085428237915,0.852,0.535,0.657,0.81,0.531,0.642,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115703,lstm_v505.h5,"{'embedding_dim': 800, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:58:09,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 436, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115809,lstm_v506.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 11:58:55,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 545, 'n_feature': 495, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115855,lstm_v507.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,545
2025-07-04 12:00:55,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 124, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120055,lstm_v508.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 12:00:04,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 730, 'n_feature': 529, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120004,lstm_v509.h5,"{'embedding_dim': 200, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,730
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250704_115703,attention_v510.h5,"{'embedding_dim': 100, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.5,0.6954318284988403,0.5,1.0,0.667,0.5,1.0,0.667,180,180
2025-07-04 12:00:55,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 124, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120055,lstm_v511.h5,"{'embedding_dim': 300, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250704_115703,attention_v512.h5,"{'embedding_dim': 200, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.5,0.6975030303001404,0.5,1.0,0.667,0.5,1.0,0.667,180,180
2025-07-04 11:58:55,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 545, 'n_feature': 495, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_115855,lstm_v513.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,545
2025-07-04 12:00:55,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 124, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120055,lstm_v514.h5,"{'embedding_dim': 400, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250704_115703,attention_v515.h5,"{'embedding_dim': 300, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.5,0.6995410323143005,0.504,1.0,0.67,0.5,1.0,0.667,180,180
2025-07-04 12:02:08,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 365, 'n_feature': 173, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120208,lstm_v516.h5,"{'embedding_dim': 100, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,180,365
2025-07-04 12:00:55,"['Disease or Syndrome', '']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 124, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe/tokens/20250704_120055,lstm_v517.h5,"{'embedding_dim': 500, 'block_layers': 1, 'hidden_units': 64, 'learning_rate': 0.001, 'epochs': 30, 'batch_size': 128}",0.75,0.5494163036346436,0.616,0.969,0.753,0.667,1.0,0.8,180,180
2025-07-04 11:57:03,"['', 'icd']",2,keras-vectorizer,"{'max_tokens': 1000, 'max_len': 180, 'n_feature': 317, 'vectorize_technique': 'other-sequence'}",/zine/data/salud/vih_phepipe//tokens/20250704_115703,attention_v518.h5,"{'embedding_dim': 400, 'units': 64, 'dropout': 0.2, 'epochs': 30, 'batch_size': 128}",0.5,0.6986466646194458,0.5,1.0,0.667,0.5,1.0,0.667,180,180
